W,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,TS1,TS2,TS3,TS4,TS5,TS6,TS7,TS8,H1,H2,H3,H4,V,NinB,NW,GW,L,W,D,Paint,LC,PVCT,C,A,PP,ABS,PC,NAT,R,ESM,i20,CF,S,PVC,Type,Pack,Stick,WPL,TC
158,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1400,650,0,0,0,0,0,0,0,0,24,4128,4803,640,435,620,1.3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,DB,1,0,0,9.853441421
354,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5170,5420,400,370,425,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,DB,1,1,0,19.41720666
642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,24,7170,9420,400,370,425,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,S,1,1,0,25.74956331
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,36,5508,6183,560,470,330,1.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PB,0,1,0,7.122160169
142,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,1600,0,0,0,24,3528,4203,455,395,450,0.6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,PB,0,1,0,5.67224308
125,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,1600,0,0,0,36,4608,5283,455,395,450,0.6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,DB,0,1,0,5.442010146
135,0,0,0,0,0,3000,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9864,10919,645,435,330,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,S,1,1,0,3.80257803
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,48,4128,4803,505,360,690,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,0.765896458
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,60,3180,3855,505,360,690,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,1.312955977
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,70,3570,4245,505,360,690,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,C,0,1,0,2.086958717
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,4400,0,0,0,24,11040,11715,735,535,560,3.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,1,24.34512252
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,144,12528,13583,700,370,300,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,C,1,1,0,3.337611398
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,72,5976,6576,565,350,300,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,0,1,0,2.851099772
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,1800,0,0,0,0,0,24,6120,6620,630,470,470,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,B,0,1,0,7.723009245
36,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,3420,4070,420,305,250,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,C,1,0,1,4.293495315
103,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4992,5642,560,470,330,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,C,1,1,0,2.528772405
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,48,6432,6965,565,350,300,0.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,DB,1,0,0,1.738238752
50,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,11424,12074,420,305,250,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,BOX,1,1,0,1.56845697
20,0,0,0,0,0,0,0,0,0,0,0,3400,3200,0,0,0,0,0,0,0,0,0,0,0,75,2775,3275,420,305,250,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,B,1,0,0,1.338086393
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,12,48,2850,3130,0,0,0,0,3,15,0,0,1,0,0,0,0,0,0,0,0,0,B,1,0,0,4.136967065
76,1100,4800,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,750,0,0,0,0,24,5340,5840,565,350,300,0.6,3,0,1,0,1,0,0,1,0,0,0,0,0,0,B,0,0,0,2.664250956
24,4800,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,60,2400,3000,565,350,300,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,S,1,0,0,0.934382895
365,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4800,5200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,DB,0,0,0,10.73825693
70,7200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,48,6500,6950,515,420,310,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,DB,1,1,0,2.213335815
60,7200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,DB,1,1,0,5.191929795
60,7200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,DB,1,1,0,2.953689541
72,7200,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,72,6500,6950,515,420,310,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,DB,1,1,0,3.475499038
